product_name,product_type,ingredients
Minimalist 2% Salicylic Acid Serum,serum,"Salicylic Acid, Propanediol, Pentylene Glycol"
Minimalist 10% Niacinamide Serum,serum,"Niacinamide, Zinc PCA, Glycerin"
Minimalist Vitamin C 10% Serum,serum,"Ethyl Ascorbic Acid, Propanediol"
Minimalist Sepicalm 3% Moisturizer,moisturizer,"Sepicalm, Shea Butter, Glycerin, Squalane"
Minimalist Hyaluronic Acid 2% Serum,serum,"Hyaluronic Acid, Pentylene Glycol"
Minimalist 2% Oat Extract Cleanser,cleanser,"Oat Extract, Panthenol, Glycerin"
Minimalist 5% Glycolic Acid Toner,toner,"Glycolic Acid, Sodium Lactate"
Dot & Key Watermelon Gel Moisturizer,moisturizer,"Hyaluronic Acid, Watermelon Extract"
Dot & Key Vitamin C Serum,serum,"Vitamin C, Kakadu Plum"
Dot & Key Cica Calming Toner,toner,"Centella Asiatica, Niacinamide"
Dot & Key Barrier Repair Moisturizer,moisturizer,"Ceramides, Hyaluronic Acid"
Plum Green Tea Face Wash,cleanser,"Green Tea Extract, Glycolic Acid"
Plum Green Tea Toner,toner,"Green Tea, Glycolic Acid"
Plum Vitamin C Serum,serum,"Ethyl Ascorbic Acid, Kakadu Plum"
Plum E-Luminence Deep Moisturizing Cream,moisturizer,"Vitamin E, Shea Butter"
Plum Chamomile & White Tea Sunscreen SPF 50,sunscreen,"Titanium Dioxide, Zinc Oxide"
Plum Niacinamide Serum 10%,serum,"Niacinamide, Rice Water"
Simple Refreshing Facial Wash,cleanser,"Aqua, Panthenol, Glycerin"
Simple Light Hydrating Moisturiser,moisturizer,"Glycerin, Pro-Vitamin B5"
Simple Protecting Light Moisturizer SPF 15,sunscreen,"Zinc Oxide, Ethylhexyl Methoxycinnamate"
Simple Replenishing Rich Moisturiser,moisturizer,"Glycerin, Allantoin"
Re'equil Oxybenzone Free Sunscreen SPF 50,sunscreen,"Zinc Oxide, Titanium Dioxide, Vitamin E"
